Base form,Past simple,Past participle
Abide,Abode/Abided,Abode/Abided/Abidden
Aby/Abey,Abought,Abought
Alight,Alit/Alighted,Alit/Alighted
Arise,Arose,Arisen
Awake,Awoke,Awoken
Backbite,Backbit,Backbitten
Backfit,Backfit,Backfit
Backlight,Backlit,Backlit
Backslide,Backslid,Backslid/Backslidden
Be,Was/Were,Been
Bear,Bore,Born/Borne
Beat,Beat,Beaten
Become,Became,Become
Bedight,Bedight/Bedighted,Bedight/Bedighted
Befall,Befell,Befallen
Beget,Begot/Begat,Begotten
Begin,Began,Begun
Begird,Begirt/Begirded,Begirt
Behight,Behight,Behight/Behoten
Behold,Beheld,Beheld
Belay,Belaid/Belayed,Belaid/Belayed
Bend,Bent,Bent
Bereave,Bereft,Bereft/Bereaved
Beseech,Besought/Beseeched,Besought/Beseeched
Beset,Beset,Beset
Bespeak,Bespoke,Bespoken
Bestrew,Bestrewed,Bestrewed/Bestrewn
Bestride,Bestrode,Bestridden
Bet,Bet,Bet
Betake,Betook,Betaken
Bethink,Bethought,Bethought
Beweep,Bewept,Bewept
Bid,Bid,Bid
Bid,Bade,Bidden
Bide,Bided/Bode,Bided
Bind,Bound,Bound
Bite,Bit,Bitten
Blaw,Blawed,Blawn
Bleed,Bled,Bled
Blend,Blended/Blent,Blended/Blent
Bless,Blessed/Blest,Blessed/Blest
Blow,Blew,Blown
Bottle-feed,Bottle-fed,Bottle-fed
Bowstring,Bowstrung/Bowstringed,Bowstrung
Break,Broke,Broken
Breast-feed,Breast-fed,Breast-fed
Breed,Bred,Bred
Bring,Brought,Brought
Broadcast,Broadcast/Broadcasted,Broadcast/Broadcasted
Browbeat,Browbeat,Browbeat/Browbeaten
Build,Built,Built
Burn,Burnt/Burned,Burnt/Burned
Burst,Burst,Burst
Bust,Bust,Bust
Buy,Bought,Bought
Cast,Cast,Cast
Catch,Caught,Caught
Cheerlead,Cheerled,Cheerled
Chide,Chid,Chid/Chidden
Choose,Chose,Chosen
Clap,Clapped/Clapt,Clapped/Clapt
Clear-cut,Clear-cut,Clear-cut
Cleave,Cleft/Cleaved/Clove,Cleft/Cleaved/Cloven
Cleek,Claught/Claucht/Cleeked,Cleeked
Clepe,Cleped,Cleped/Ycleped/Yclept
Cling,Clung,Clung
Clothe,Clad/Clothed,Clad/Clothed
Colorbreed,Colorbred,Colorbred
Colorcast,Colorcast,Colorcast
Come,Came,Come
Cost,Cost,Cost
Cost-cut,Cost-cut,Cost-cut
Counterdraw,Counterdrew,Counterdrawn
Counterlight,Counterlit,Counterlit
Cowrite,Cowrote,Cowritten
Crash-dive,Crash-dived/Crash-dove,Crash-dived
Creep,Crept,Crept
Creep-feed,Creep-fed,Creep-fed
Crib-bite,Crib-bit,Crib-bitten
Cross-bite,Cross-bit,Cross-bitten
Cross-string,Cross-strung,Cross-strung
Crossbreed,Crossbred,Crossbred
Crosscut,Crosscut,Crosscut
Crosslight,Crosslit,Crosslit
Crow,Crowed/Crew,Crowed
Cut,Cut,Cut
Dare,Dared/Durst,Dared
Daydream,Daydreamt/Daydreamt,Daydreamt/Daydreamt
Deal,Dealt,Dealt
Deep-freeze,Deep-froze,Deep-frozen
Dig,Dug,Dug
Dight,Dight/Dighted,Dight/Dighted
Dispread,Dispread,Dispread
Disprove,Disproved,Disproven/Disproved
Dive,Dived/Dove,Dived
Do,Did,Done
Dogfight,Dogfought,Dogfought
Dow,Dought/Dowed,Dought/Dowed
Draw,Drew,Drawn
Dream,Dreamt/Dreamed,Dreamt/Dreamed
Drink,Drank,Drunk
